Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
EC,11/04/2026,Scunthorpe,Brackley Town,,,,,,
EC,11/04/2026,Southend,Solihull,,,,,,
EC,11/04/2026,Carlisle,Sutton Utd,,,,,,
EC,11/04/2026,Yeovil,FC Halifax Town,,,,,,
EC,11/04/2026,Forest Green,Braintree,,,,,,
EC,11/04/2026,Aldershot,Gateshead,,,,,,
EC,11/04/2026,Woking,Morecambe,,,,,,
EC,11/04/2026,Altrincham,Eastleigh,,,,,,
EC,11/04/2026,Boston Utd,Truro City,,,,,,
EC,11/04/2026,Rochdale,Wealdstone,,,,,,
I1,11/04/2026,Cagliari,Cremonese,,,,2.12,3.05,3.7
I1,11/04/2026,Torino,Hellas Verona,,,,1.89,3.25,4.3
I1,11/04/2026,AC Milan,Udinese,,,,1.39,4.3,8.7
I1,11/04/2026,Atalanta,Juventus,,,,3.05,3.35,2.26
I2,11/04/2026,Pescara,Sampdoria,,,,2.26,3.35,3.05
I2,11/04/2026,Virtus Entella,Venezia,,,,4.7,3.75,1.7
I2,11/04/2026,Juve Stabia,Cesena,,,,2.14,3.3,3.35
I2,11/04/2026,Sudtirol,Modena,,,,2.95,3.15,2.42
I2,11/04/2026,Avellino,Catanzaro,,,,2.54,3.25,2.72
I2,11/04/2026,Monza,Bari,,,,1.34,4.85,8.4
N1,11/04/2026,Utrecht,Telstar,,,,1.59,3.95,5.4
N1,11/04/2026,Sparta Rotterdam,PSV Eindhoven,,,,3.55,4.3,1.8
N1,11/04/2026,Groningen,GO Ahead Eagles,,,,1.81,3.95,3.8
N1,11/04/2026,Heracles,Ajax,,,,5.0,4.2,1.58
SC0,11/04/2026,Celtic,ST Mirren,,,,1.3,5.4,8.7
SC0,11/04/2026,Kilmarnock,Dundee,,,,2.2,3.45,3.1
SC0,11/04/2026,Aberdeen,Hibernian,,,,3.4,3.35,2.08
SC0,11/04/2026,Heart Of Midlothian,Motherwell,,,,1.97,3.45,3.65
SC0,11/04/2026,Dundee Utd,Livingston,,,,1.57,3.95,5.5
SC1,11/04/2026,ST Johnstone,Airdrie United,,,,1.43,4.45,6.0
SC1,11/04/2026,Partick,Dunfermline,,,,1.94,3.35,3.65
SC1,11/04/2026,Raith Rovers,Morton,,,,1.88,3.25,4.0
SC1,11/04/2026,Ayr Utd,Arbroath,,,,2.36,3.15,2.88
SP1,11/04/2026,Real Sociedad,Alaves,,,,1.73,3.6,4.7
SP1,11/04/2026,Elche,Valencia,,,,2.32,3.25,3.0
SP1,11/04/2026,Barcelona,Espanyol,,,,1.22,6.4,11.0
SP1,11/04/2026,Sevilla,Atletico Madrid,,,,3.4,3.05,2.22
SP2,11/04/2026,Leganes,Albacete,,,,2.0,3.4,3.55
SP2,11/04/2026,Burgos,Sporting Gijon,,,,2.1,3.15,3.6
SP2,11/04/2026,Malaga,Las Palmas,,,,2.32,3.25,2.98
SP2,11/04/2026,Cordoba,Zaragoza,,,,1.9,3.5,3.85
B1,12/04/2026,KV Mechelen,Union St. Gilloise,,,,5.0,3.8,1.67
B1,12/04/2026,Genk,OH Leuven,,,,1.67,3.9,4.6
B1,12/04/2026,Anderlecht,Gent,,,,1.9,3.75,3.6
B1,12/04/2026,Dender,Zulte Waregem,,,,3.1,3.45,2.2
D1,12/04/2026,1. FC Köln,Werder Bremen,,,,2.18,3.45,3.1
D1,12/04/2026,VfB Stuttgart,Hamburger SV,,,,1.42,4.5,7.0
D1,12/04/2026,FSV Mainz 05,SC Freiburg,,,,2.2,3.35,3.2
D2,12/04/2026,VfL Bochum,Eintracht Braunschweig,,,,1.83,3.85,3.8
D2,12/04/2026,SC Paderborn 07,1. FC Magdeburg,,,,1.85,3.9,3.6
D2,12/04/2026,SV Elversberg,FC Schalke 04,,,,2.0,3.55,3.5
E0,12/04/2026,Crystal Palace,Newcastle,,,,2.94,3.45,2.28
E0,12/04/2026,Nott'm Forest,Aston Villa,,,,2.64,3.25,2.6
E0,12/04/2026,Sunderland,Tottenham,,,,2.6,3.35,2.6
E0,12/04/2026,Chelsea,Man City,,,,2.88,3.9,2.15
E1,12/04/2026,Birmingham,Wrexham,,,,2.0,3.5,3.5
I1,12/04/2026,Genoa,Sassuolo,,,,2.15,3.2,3.4
I1,12/04/2026,Parma,Napoli,,,,5.5,3.6,1.64
I1,12/04/2026,Bologna,Lecce,,,,1.8,3.3,4.65
I1,12/04/2026,Como,Inter,,,,3.15,3.4,2.2
I2,12/04/2026,Padova,Empoli,,,,3.1,3.25,2.28
I2,12/04/2026,Spezia,Mantova,,,,2.28,3.3,3.05
I2,12/04/2026,Reggiana,Carrarese,,,,3.05,3.2,2.34
N1,12/04/2026,Fortuna Sittard,NAC Breda,,,,2.52,3.65,2.52
N1,12/04/2026,PEC Zwolle,Excelsior,,,,2.1,3.7,3.1
N1,12/04/2026,NEC Nijmegen,Feyenoord,,,,2.14,3.95,2.85
N1,12/04/2026,AZ Alkmaar,Heerenveen,,,,1.61,4.3,4.7
SC0,12/04/2026,Falkirk,Rangers,,,,4.2,3.65,1.78
SP1,12/04/2026,Osasuna,Real Betis,,,,2.18,3.45,3.1
SP1,12/04/2026,Mallorca,Rayo Vallecano,,,,2.52,3.15,2.8
SP1,12/04/2026,Celta Vigo,Oviedo,,,,1.66,3.8,4.9
SP1,12/04/2026,Athletic Club,Villarreal,,,,2.25,3.4,3.0
SP2,12/04/2026,Granada CF,Cultural Leonesa,,,,1.8,3.4,4.5
SP2,12/04/2026,Huesca,Deportivo La Coruna,,,,3.6,3.15,2.1
SP2,12/04/2026,Cadiz,FC Andorra,,,,,,
SP2,12/04/2026,Mirandes,Castellón,,,,3.25,3.5,2.12
SP2,12/04/2026,Racing Santander,Almeria,,,,2.28,3.7,2.76
